Game_Title,Consoles,ESRB_Rating,Content_Descriptors,Interactive_Elements,Content_Summary
Beyond Good and Evil 20th Anniversary Edition,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox Series",E10+,"Animated Blood,Fantasy Violence",No Interactive Elements,"This is an action-adventure game in which players assume the role of a reporter accompanied by a pig-like companion investigating a conspiracy on the planet of Hillys. From a third-person perspective, players explore fantasy locations, take photos of evidence, solve puzzles, and fight robot and alien enemies. Combat is sometimes fast-paced, with players using melee weapons (e.g., staffs, torches) to strike stylized enemies that generally break apart or vanish into puffs of smoke. One boss battle depicts a squid-like alien stabbed in the eye, with yellow-green splatter effects."
Demon Slayer -Kimetsu no Yaiba- Sweep the Board!,Nintendo Switch,T,"Fantasy Violence,Language,Mild Blood,Mild Suggestive Themes",No Interactive Elements,"This is an adventure/party game in which players move characters around a game board while attempting to collect the most points. Some spots on the game board trigger brief battle sequences: players must match on-screen indicators, with correct timing, to perform slash attacks. Damage is indicated by slashing sounds, light effects, and cries of pain. One boss character attacks with Flying Blood Scythes, sending red, liquid-like slashes towards players. Some female characters are designed with revealing outfits (e.g., deep cleavage, bikinis in the battlefield). The word “sh*t” appears in the game."
The Legend of Legacy HD Remastered,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch",E10+,"Fantasy Violence,Language,Suggestive Themes,Use of Alcohol",No Interactive Elements,"This is a role-playing game in which players follow the tales of seven characters unveiling the mysteries of an island. From a ¾-overhead perspective, players explore the island, interact with townspeople, and traverse dungeon-like areas. Players use swords, axes, spears, and magic to battle fantastical creatures (e.g., lizardmen, goblins, spirits) in turn-based combat. Battles are highlighted by impact sounds and dwindling hit points; enemies generally disappear when defeated. Some female characters are designed with revealing costumes (e.g., deep cleavage), with occasional close-ups/panning on their bodies/outfits. A bar scene depicts characters drinking alcohol (e.g., “Barkeep…I wanna enjoy a drink out on the beach…*hic*”; “That guy was a drunk, if ya ask me…*hic*”). The word “bastard” appears in the game."
Girl Genius: Adventures in Castle Heterodyne,Nintendo Switch,T,"Blood and Gore,Fantasy Violence,Mild Suggestive Themes",No Interactive Elements,"This is an action-adventure game in which players assume the role of an inventor as she tries to restore glory to her family name. From a third-person perspective, players explore a castle, interact with characters, and battle human and fantastical enemies (e.g., small creatures, robots) in melee-style combat. Players use large wrenches and gadgets to defeat enemies. Battles are highlighted by impact sounds, cries of pain, and colorful light effects. Some comic panels depict further instances of violence and/or blood and gore: a character''s arm torn off; a creature beheaded, accompanied by a blood-splatter effect; characters stabbed or impaled; bodies lying in pools of blood. Comic panels also contain suggestive material: a woman described as a ""tramp""; a silhouette of a character showering; a female character wearing a revealing outfit (e.g., deep cleavage) in bed."
This Way Madness Lies,"PlayStation 5, Nintendo Switch",E10+,Fantasy Violence,No Interactive Elements,No Rating Summary
Sympathy Kiss,Nintendo Switch,T,"Language,Sexual Themes,Use of Alcohol",No Interactive Elements,"This is a visual novel in which players follow the story of an office worker transferred to a new department to save a failing app. As players progress through the story, they can make dialogue/action choices that influence the narrative. Some choices can lead to romantic scenarios with other characters, depicted in still-screen: characters kissing and caressing each other; characters moaning during intimate moments; allusions to characters having spent the night together. During the course of one story, the main character is kissed against her will by a man. The game also contains suggestive/sexual references in the dialogue (e.g., “It''s not like I''d get perverted thoughts just from seeing your panties”; “I''ll happily pleasure you as much as you want""; ""You''ve heard of sexual harassment, right?”). In one story, a character is harassed by a drunk man hiccupping and slurring his words; another prolonged sequence describes two characters drinking (e.g., “Perhaps because he had too much to drink, Director Kobase stumbled as we got out of the taxi”; “…both of us being very hungover…”). The words “sh*t” and a*shole” appear in the game."
Archetype Arcadia,"PlayStation 4, PlayStation 5, Nintendo Switch",M,"Blood,Language,Suggestive Themes,Violence",No Interactive Elements,"This is a visual novel in which players follow the story of siblings attempting to survive a virtual-reality game in a post-apocalyptic future. As players follow the story, they can make dialogue/action choices that influence the narrative. Some sequences depict audio of characters stabbed or choked. A handful of still-frame sequences depict violence and blood-stained environments and/or effects: a character biting a bloodstained corpse; a room of pods with large bloodstains; a child witnessing the murder of relatives; a character slowly melting, with his limbs falling off; two characters cutting each other''s necks, with blood dripping. The dialogue describes further instances of violence: “…She was stabbed, slashed, impaled, and gouged”; “their entrails exposed, and their flesh scattered about”; “I hear a gushy mushy sound…The sound of blood spurting. The sound of flesh rending”; “…[He] squeezed my throat tight…”). The text also references suggestive material (e.g., “…[M]aybe you''d like to feel my body a bit more closely”; “…[T]hose aren''t boobs. Those are bones”; “…I''ve never seen breasts this plump”; “Let''s feel each other more deeply”; “You want to touch me, don''t you?”). The word “sh*t” appears in the game."
My Next Life as a Villainess: All Routes Lead to Doom! -Pirates of the Disturbance-,Nintendo Switch,T,"Drug Reference,Mild Blood,Mild Language,Mild Violence",No Interactive Elements,"This is a visual novel that follows the story of a heroine trying to win the hand of a love interest. As players progress through the story, they can make dialogue choices that influence the course of the narrative. Some choices lead to instances of violence: characters shot off-screen; a character stabbed in the back, resulting in a brief blood-splatter effect; a woman shot, also resulting in blood-splatter effects—sequences are accompanied by gunfire, impact sounds, and cries of pain. The dialogue contains references to drugs (e.g., “illegal drug trafficking,” ""Brainwashed and drugged,” “brainwashing and drugging”). The word ""bastard"" appears in the game."
RollerCoaster Tycoon Adventures Deluxe,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",E,Comic Mischief,No Interactive Elements,"This is a simulation game in which players create a roller coaster theme park. Players manage the park by building customizable roller coasters, concession stands, facilities, and other theming elements. A handful of park rides contain comical descriptions: “Have you ever peed your pants from fright?""; “Ride it, drop it, zip it, unzip it. Then vomit.”)."
Star Wars Jedi Knight: Jedi Academy,Nintendo Switch,T,Violence,No Interactive Elements,"This is a first- and third-person action game set in the Star Wars universe. Players assume the role of a Jedi student battling Imperial and other evil forces while improving their light saber skills and force powers (e.g., push/pull, lightning, choke). Combat can be frenetic, with first-person blaster firefights and third-person light-saber duels with boss characters. Players can also use grenades and, in some areas, machine gun turrets. Fights are highlighted by cries of pain, explosions, and impact sounds."
Train Valley Collection,"PlayStation 4, Nintendo Switch",E,Mild Fantasy Violence,No Interactive Elements,No Rating Summary
My Lovely Wife,Nintendo Switch,T,"Blood and Gore,Sexual Themes,Violence",No Interactive Elements,No Rating Summary
Penny''s Big Breakaway,"Windows PC, PlayStation 5, Nintendo Switch, Xbox Series",E,Mild Fantasy Violence,No Interactive Elements,"This is an action platformer in which players help a yoyo performer (Penny) escape from a fantasy kingdom. As players traverse whimsical environments, they can glide on zip lines and smack cartoony penguins—knocking them off-screen. Penny blinks when hit and is quickly reset when defeated. Boss battles depict more protracted combat against larger characters within enclosed arenas."
Bomb Rush Cyberfunk,"PlayStation 4, PlayStation 5, Xbox One, Xbox Series",T,"Blood,Language,Suggestive Themes,Violence",No Interactive Elements,"This is an action-adventure game in which players assume the role of a graffiti writer battling for control of a futuristic city (New Amsterdam). From a third-person perspective, players traverse the city, spray-paint graffiti, collect musical beats, and combine skate-like tricks to use in battles. Players punch, kick, and use graffiti-spray finishing moves against enemies (e.g., police, large mechs). Combat is highlighted by gunfire, colorful light effects, and cries of pain. Cutscenes depict further instances of violence and blood: characters decapitated; a character pushed off a building; a character shot in the head off screen; a body lying in a pool of blood; blood from a gunshot wound. One area of the city contains a red-light district, with signs reading “XXX,"" “Girls,” “Love Spectrum,” and “Love Bomb”; there are also signs depicting female silhouettes. The word “sh*t” appears in the game, and one skateboard decal depicts a raised middle finger."
Fortnite Battle Royale,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",T,Violence,"Users Interact (PC,PlayStation 4,Xbox One,Switch,Xbox Series,PlayStation 5)In-Game Purchases (PC,PlayStation 4,Xbox One,Switch,Xbox Series,PlayStation 5)","This is a survival action game in which players compete in battle royale-style competitions to be the last person or team standing. From a third-person perspective, players gather supplies, build forts, and battle enemies on a shrinking battlefield. Players use pistols, shotguns, sniper rifles, grenades, and lightsabers to fight opposing players in ranged and melee-style combat. Battles are fast-paced, highlighted by realistic gunfire and impact sounds. Some sequences allow players to enter a first-person view of combat (e.g., aiming down a scope). Defeated enemies typically burst into a colorful light effect before disappearing."
Super Crazy Rhythm Castle,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",E10+,"Fantasy Violence,Lyrics,Mild Blood",No Interactive Elements,"This is an action/rhythm game in which players engage in rhythm challenges/puzzles/battles orchestrated by a mischievous king. From a top-down perspective, players explore a castle while interacting with characters and solving puzzles. In some areas, players match button presses along with scrolling indicators, tossing minions around and/or shooting cannons at bosses. During the course of the game, players can collect a Bloodstained Cartridge, depicted as a red video game cartridge with a blood stain on the label. An accompanying song contains the word “bada*s,” which also appears on the screen."
Russian Subway Dogs,PlayStation 4,E10+,"Comic Mischief,Fantasy Violence,Use of Alcohol",No Interactive Elements,No Rating Summary
FINAL FANTASY VII REBIRTH,PlayStation 5,T,"Blood,Language,Mild Suggestive Themes,Use of Alcohol and Tobacco,Violence",No Interactive Elements,"This is an action role-playing game in which players follow the story of a mercenary (Cloud Strife) on a quest to save the planet from evil. Players explore fantasy landscapes, perform missions, and battle monsters and soldiers in frenetic melee combat. Characters use swords, staffs, guns, and magic spells to fight monsters and human soldiers; combat is highlighted by impact sounds, cries of pain, and explosions. Cutscenes depict further instances of violence, sometimes with splatters/pools of blood: characters impaled or slashed by swords, sometimes with slow-motion effects; an assassin throwing a spinning blade at a targeted figure; characters shot by soldiers. Some female characters are designed with revealing outfits (e.g., deep cleavage); suggestive dialogue sometimes accompanies camera panning/close-ups of characters'' bodies/outfits (e.g., “Just admit it. You''re obviously captivated by my bodacious beach bod.”). The game contains some alcohol content: as Cloud, players can drink a version of moonshine while at a bar; cutscenes sometimes feature drunk characters slurring their speech. A handful of scenes depict characters smoking cigars or out of hookahs. The words “sh*t,” “a*shole,” and “pr*ck” appear in the game."
SYNCED,"Windows PC, PlayStation 5, Xbox Series",T,"Blood,Violence","Users Interact (PC,Xbox Series,PlayStation 5)In-Game Purchases (Includes Random Items) (PC,Xbox Series,PlayStation 5)","This is a third-person shooter in which players engage in solo or squad-based matches in the aftermath of a technological collapse. Players search the environment for supplies, using machine guns, rifles, shotguns, and melee-style attacks to kill various enemies (e.g., Runners, Nanos). Combat is fast-paced, accompanied by realistic gunfire and blood-splatter effects. Players can perform finishing moves on downed enemies (e.g., stabbing characters; punching enemies on the ground)—these attacks are often depicted from a closer perspective."
Little Goody Two Shoes,Windows PC,T,"Blood and Gore,Partial Nudity,Violence",No Interactive Elements,"This is a horror-adventure game in which players follow a girl (Elise) on a quest to fulfill her dream. From a 3/4-overhead perspective, players explore a fictional German town, interact with characters, and engage in various minigames. Players can encounter supernatural creatures (e.g., ghosts, giant insects, skeletons) that chase down and attack Elise; small blood-splatter effects occur when Elise is attacked. A handful of environments depict stylized bloodstains and gore (e.g., a severed head on an altar). Still-image sequences also depict violence and stylized blood/gore: a woman killed off screen, with blood-splatter on the screen; a character impaled, with blood stains; a silhouette sequence of a decapitation. One brief sequence depicts a female ghost with exposed breasts; a painting/drawing on a parade float shows a creature with exposed breasts and nipples."
Pocket Bravery,"PlayStation 4, PlayStation 5, Nintendo Switch",T,"Fantasy Violence,Mild Blood,Mild Language,Mild Suggestive Themes","In-Game Purchases (PlayStation 4,Switch,PlayStation 5)","This is an action-fighting game in which players assume the role of an ex-crew member seeking revenge. Players engage in arcade-style fighting, using stylized characters that punch, kick, and throw each other to deplete opponents'' health meters. Characters also use special attacks to inflict greater damage. Combat is accompanied by frequent impact sounds and cries of pain. Still-images depict characters punched, choked, and/or with bloody/bruised faces. One character''s sword attack results in small blood spurts. A female character''s special attack depicts a close-up of her chest and revealing clothing (e.g., low-cut top, deep cleavage); a still-image sequence depicts a female character in a bath with water partially covering her breasts. The word “p*ss” appears in the game."
Thirsty Suitors,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",T,"Drug Reference,Fantasy Violence,Language,Sexual Themes",No Interactive Elements,"This is an adventure/role-playing game in which players assume the role of Jala as she skateboards, cooks, and battles through a story-driven experience. Players help Jala confront her mistakes, reconcile previous relationships, and balance cultural differences/expectations. As players progress through the story, they engage in turn-based battles using whimsical attacks (e.g., insults, flirting, distractions) and occasional physical attacks (e.g., slaps, using a basketball to strike opponents). Battles are highlighted by impact sounds, cries of pain, and dwindling health bars/hit points. The dialogue contains some references to sexuality (e.g., “I don''t get down on my knees for just anyone""; “This is a fetish""; “Don''t kink shame”; “Please don''t make that sound like such a sex thing”; “This seems like a really suggestively shaped dog toy”; ""Is he good in bed?”). A handful of scenes contain drug references (e.g., ""stoned sarcasm""; ""Munchies can weaken resolve""; “Has anyone introduced her to edibles yet?”). The words “sh*t” and “a*shole” appear in the game."
MythForce,"PlayStation 4, PlayStation 5, Nintendo Switch",T,"Animated Blood,Fantasy Violence",No Interactive Elements,"This is an action-adventure game in which players assume the roles of heroes trying to save a realm from evil forces. From a first-person perspective, players explore crypts and castles, collect magical artifacts, and defeat hordes of enemies (e.g., skeletons, lizardmen, mushrooms). Players use swords, daggers, maces, and magic spells to battle enemies in frenetic combat. Battles are highlighted by impact sounds, colorful light effects, and brief explosions. Some enemies burst into large, yellow droplets when defeated and/or leave green stains on the ground. Boss battles depict more protracted combat, sometimes against human-like characters."
Mario vs. Donkey Kong,Nintendo Switch,E,Mild Fantasy Violence,No Interactive Elements,"This is an action platformer in which players help Mario rescue Mini-Mario toys stolen by Donkey Kong. As players traverse whimsical environments, they can defeat enemies by jumping on their heads or throwing objects (e.g., trash cans, barrels) at them. In a boss battle sequence, players must dodge falling objects while using barrels to hit Donkey Kong; damage is indicated by depleting hit points, smoke, and cracked glass."
RollerCoaster Tycoon 3 Complete Edition,Nintendo Switch,E10+,"Crude Humor,Mild Violence,Use of Tobacco",No Interactive Elements,"This is a simulation game in which players create and manage a roller-coaster theme park. Players can build rides, facilities, and various décor options. Carts/coasters can sometimes be driven off rails or tracks, hitting park guests; though these actions are not encouraged, park guests are seen hurtling through the air when struck. In some sequences, players can shoot tranquilizer darts at animals to sedate them, putting them safely back in their enclosures. Park guests sometimes vomit or retch, leaving green puddles on the ground; animals are also seen defecating, with flatulence sound effects. One animatronic statue is depicted smoking a pipe."
Kraken Odyssey,Nintendo Switch,E,Mild Fantasy Violence,No Interactive Elements,"This is a 3D platformer/adventure game in which players control an octopus through whimsical levels. Players collect coins, traverse platforms, avoid hazards, and jump on enemies'' heads. Hazards include swinging axe blades and cannons that shoot across paths. A power-up barrel allows players to use slam attacks to defeat multiple enemies at once."
My Lovely Daughter,Nintendo Switch,T,"Blood,Violence",No Interactive Elements,No Rating Summary
Bluey: The Videogame,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",E,No Descriptors,No Interactive Elements,"This is an adventure game in which players control and meet characters from the TV show Bluey. Players explore locations from the show while engaging in various mini-games (e.g., bouncing a balloon, traversing platforms, collecting specific items)."
Pui Pui Molcar Let’s! Molcar Party,Nintendo Switch,E,Mild Fantasy Violence,No Interactive Elements,"This is a collection of 10 mini-games in which players compete in various mini games/activities (e.g., dancing, racing, recycling). In one mini-game players must avoid laser fire from a flying shark plane; getting hit by the laser can cause players'' character to fly off the screen."
FINAL FANTASY VII EVER CRISIS,Windows PC,T,"Fantasy Violence,Mild Blood,Mild Language,Suggestive Themes",In-Game Purchases (Includes Random Items) (PC),"This is a role-playing game in which players assume the roles of mercenaries and soldiers trying to save the planet from evil. From a third-person perspective, players explore towns, interact with characters, and battle various enemies (e.g., soldiers, creatures, machines) in turn-based combat. Players use swords, guns, magic, and melee-style attacks to kill enemies. Battles are highlighted by screen-shaking effects, cries of pain, and colorful light effects. A handful of environments depict blood-like trails (usually blue) on the ground. Cutscenes depict further instances of violence and/or blood: a creature with cuts and red stains; dead creatures engulfed in flames; soldiers shooting at characters. Some female characters are designed with revealing outfits (e.g., deep cleavage, wet clothing that appears slightly transparent, bikinis in the battlefield). The words “jacka*s” and “bastard” appear in the game."
Everdream Valley,"PlayStation 4, PlayStation 5, Nintendo Switch",E,No Descriptors,"In-Game Purchases (PlayStation 4,Switch,PlayStation 5)","This is a farming simulation game in which players assume the role of a child spending a summer vacation on a farm. As players explore an open-world environment, they can rebuild the farm, plant crops, and care for livestock."
Strayed Lights,"PlayStation 4, PlayStation 5, Nintendo Switch",E10+,Fantasy Violence,No Interactive Elements,No Rating Summary
Super Alloy Ranger,Nintendo Switch,T,"Fantasy Violence,Language,Mild Suggestive Themes",No Interactive Elements,No Rating Summary
Garden Life: A Cozy Simulator,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",E,No Descriptors,No Interactive Elements,"This is a simulation game in which players assume the role of a gardener who must manage a neglected community garden. Players can cultivate and tend to plants, interact with neighbors, and earn seeds and coins for various items."
UNDER NIGHT IN-BIRTH II Sys:Celes,"PlayStation 4, PlayStation 5, Nintendo Switch",T,"Language,Mild Blood,Suggestive Themes,Violence",No Interactive Elements,"This is a fighting game in which players engage in one-on-one combat by selecting amongst human and supernatural characters. Players use kicks, punches, and weapon attacks (e.g., sword slashes, claw strikes) to drain opponents'' life meter. Characters can perform special attacks, resulting in brief animated sequences that depict fiery blasts and brief blood-like effects. One character is depicted with blood covering his hands and arms. Some female characters are designed with revealing outfits (e.g., deep cleavage); the dialogue also references suggestive material (e.g., “…I thought you''d be satisfied with having seen me naked”; “Shame on you, subjecting this girl to your vices“; ""...you little perv...”; “What on earth are you doing? She''s naked, for crying out loud.”). The word “sh*t” appears in the game."
Bendy and the Dark Revival,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",T,"Blood and Gore,Violence",No Interactive Elements,"This is a first-person survival horror game in which players assume the role of an animator (Audrey) pulled into a sinister ink world from the early 20th century. As players explore the strange world, they can use stealth to sneak around ink demons/ghouls and eventually find pipes to strike enemies; players can also use a special ability to “banish” or vaporize enemy creatures. Cutscenes depict further instances of violence: a figure pushed into a chamber of spinning blades (camera cuts away); enemies impaled by blades; a character electrocuted while restrained in a chair. One scene depicts a creature crushing Audrey''s legs, leaving bony stumps visible as players look down."
ASTRO AQUA KITTY,PlayStation 5,E,Mild Fantasy Violence,No Interactive Elements,No Rating Summary
Batman: Arkham Asylum,Nintendo Switch,T,"Alcohol and Tobacco Reference,Blood,Mild Language,Suggestive Themes,Violence",No Interactive Elements,"This is an action game featuring characters from the Batman franchise. Players assume the role of Batman as he fights (never kills) his way through a psychiatric hospital populated by psychopathic criminals and humans infected with a toxic virus. Players can punch, kick, and use weapons (spikes, light beams, and other gadgets) to defend against the onslaught of enemies. Some attacks are highlighted by special effects, such as slow-motion hits and close-ups of damage inflicted. During the course of the game, players can enter rooms with blood stains on the ground and walls or witness the ""infected"" twitching and screaming in pain. Some inmates and guards are strewn unconscious/dead on the asylum floors, while others are tied-up, strapped to torture devices, or are being tortured (e.g., a guard suffering in an electric chair). Two female characters wear provocative outfits that expose deep cleavage and/or partial buttocks, and one of them moans suggestively when she is in peril. Players are occasionally required to identify and track traces of whiskey/tobacco during missions. Some expletives (e.g., ""b*tch,"" ""damn,"" and ""pissed"") can be heard in the dialogue."
Batman: Arkham City,Nintendo Switch,T,"Alcohol Reference,Blood,Mild Language,Suggestive Themes,Use of Tobacco,Violence",No Interactive Elements,"This is an action-adventure game featuring characters from the Batman franchise. Players assume the role of Batman as he investigates Arkham City, a neighborhood overrun by psychopathic criminals and former prison inmates. As players explore the city and infiltrate hideouts, they punch and kick criminals in melee-style combat, using various gadgets (e.g., explosive gel, smoke pellets, a grappling gun) to defend themselves against gun-wielding thugs and villains. The frenetic combat is highlighted by cries of pain, punching sounds, realistic gunfire, and slow-motion effects. In some sequences, players must solve puzzles or use stealth to incapacitate enemies and free hostages; when players fail a challenge, the hostage will lose his life. Some environments contain bloodstains on the floor or furniture; other cutscenes depict spots of blood on injured characters. During the course of the game, some female characters are dressed in form-fitting outfits that expose large amounts of cleavage; one background sign depicts the silhouette of a woman and the words “Live Nude.” The dialogue also contains some suggestive references (e.g., “The anger, the frustration, the hints of repressed sexual tension” and “Sure could go for some porn right now.”). One sequence depicts a character smoking a cigar, and there are various references to alcohol (e.g., “She got a little drunk and killed her classmates,” “I''d give anything for a nice cold beer right now.”). The words “b*tch,” “a*s,” and “bastard” can be heard in dialogue."
Cry Babies Magic Tears: The Big Game,"PlayStation 4, PlayStation 5, Nintendo Switch",E,No Descriptors,No Interactive Elements,"This is a puzzle game in which players compete to win the Big Golden Pacifier competition. Players can compete in events that include dancing, photography, and maze navigation."
Granblue Fantasy: Relink,"PlayStation 4, PlayStation 5",T,"Language,Mild Suggestive Themes,Violence","Users Interact (PlayStation 4,PlayStation 5)","This is an action role-playing game in which players assume the role of an airship captain battling monsters across a fantasy realm. From a third-person perspective, players control their character and other party members through melee-style fights against various enemies (e.g., wolves, goblins, robots, boss characters). Characters use swords, magic, and guns to kill enemies in fast-paced combat; fighting is highlighted by light and slow-motion effects. Some sequences allow players to control mechanized armor suits in battle; these scenes depict frequent gunfire and explosions. Some female characters are designed with revealing outfits (e.g., deep cleavage); camera angles can focus on characters'' revealing outfits and/or anatomy (i.e., upskirt detailing). The words “sh*t” and “a*shole” appear in the game."
My Hero Ultra Rumble,Windows PC,T,"Mild Language,Suggestive Themes,Violence",Users Interact (PC)In-Game Purchases (Includes Random Items) (PC),"This is an action-fighting game in which players assume the roles of fighters with superpowers called Quirks. Players engage in battle-royale style combat, punching and kicking opponents in fast-paced combat. Players use knives, objects in the environment, and elemental attacks (e.g., electricity, fire, ice) to defeat opponents. Combat is highlighted by colorful light effects, explosions, and cries of pain. Some female characters are designed with low-cut outfits that reveal large amounts of their breasts/cleavage; one female character''s emote depicts her leaning over and winking, with some suggestive dialogue (e.g., “Let''s be bosom buddies, huh?”). The words “bastard,” “a*s,” and “p*ssed” appear in the game."
PAYDAY 3,"Windows PC, PlayStation 5, Xbox Series",M,"Blood,Drug Reference,Intense Violence,Strong Language","Users Interact (PC,Xbox Series,PlayStation 5)In-Game Purchases (PC,Xbox Series,PlayStation 5)","This is a first-person shooter in which players assume the role of a bank robber for hire who takes on various heists/jobs. Players traverse a modern city and earn skill points and experience on their way to becoming elite criminals. Players use pistols, machine guns, sniper rifles, shotguns, and grenade launchers to shoot and kill human characters (e.g., police/SWAT team members). Players have the ability to shoot random civilians, though there is a penalty for doing so. Combat is accompanied by realistic gunfire, cries of pain, and blood-splatter effects. In one mission, players are tasked with retrieving and transporting bags of cocaine. The words “f**k” and “sh*t” appear in the game."
RoboCop: Rogue City,"Windows PC, PlayStation 5, Xbox Series",M,"Blood and Gore,Intense Violence,Sexual Themes,Strong Language,Use of Drugs",No Interactive Elements,"This is a first-person shooter in which players assume the role of RoboCop as he battles criminals and enemies in a fictionalized Detroit. Players traverse the city to investigate crime scenes, solve mysteries, interact with characters, and fight criminals (e.g., punks, mercenaries, robots). Players use pistols, shotguns, assault rifles, and melee attacks to kill enemies in frenetic combat. Battles are accompanied by realistic gunfire, cries of pain, and large blood-splatter effects. Some attacks result in partial decapitation; exploding attacks cause enemies to burst into pieces. A handful of sequences depict additional instances of violence and/or gore: a hostage thrown out of a window; a close-up view of a murder victim''s head wound; a character tied to a chair and repeatedly beaten; a police officer shot multiple times; a character''s hand shot off. The game contains some sexual material: characters referred to as strippers and prostitutes; a bed with handcuffs attached to it; a portrait of a woman in bondage; a female character dancing in front of a pole, with men cheering on; signs that read, “XXX,” “Girls, Girls,” and “Route 69.” Several plotlines revolve around a fictional illegal drug called Nuke: villains discuss dealing the drug, sometimes to underage users; some cutscenes depict characters high or being injected with Nuke. The words “f**k” and “sh*t” appear in the game."
Rainbow High Runway Rush,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",E,No Descriptors,No Interactive Elements,"This is an adventure game in which players follow Rainbow High characters through various creative projects, work tasks, and school assignments. As players explore the school players, they can collect items, unlock talents, and style their characters."
Apollo Justice: Ace Attorney Trilogy,"Windows PC, Nintendo Switch",T,"Blood,Mild Language,Mild Suggestive Themes,Use of Alcohol and Tobacco,Violence",No Interactive Elements,"This is a collection of three adventure games in which players assume the roles of attorneys in various murder cases. Players can study crime scenes, analyze evidence, and present clues and arguments in court cases. Crime scenes sometimes depict corpses, with bloodstained clothing and/or weapons protruding from torsos. Cutscenes and still-images depict further instances of violence/blood: a tape outline of a body with a large bloodstain; characters getting shot, sometimes with blood-splatter effects; a character strangled with a cord; characters stabbed and/or slashed, also with blood-splatter effects. One female character is depicted with breasts that jiggle during dialogue; one case revolves around players searching for missing panties. The game includes use of controlled substances: drunk characters slurring their words, swaying, hiccupping; an opposing lawyer holding a cigar; a witness blowing smoke rings in the air. The word “p*ss” appears in the game."
"Mon-Yu: Defeat Monsters And Gain Strong Weapons And Armor. You May Be Defeated, But Don’t Give Up. Become Stronger. I Believe There Will Be A Day When The Heroes Defeat The Devil King.","PlayStation 5, Nintendo Switch",T,"Fantasy Violence,Mild Blood,Use of Alcohol and Tobacco",No Interactive Elements,"This is a role-playing game in which players control heroes searching for treasure in a fantasy land of fairies. Players explore dungeons and engage in turn-based combat against demons and fantastical creatures. Players select attack moves from a menu and watch their sword strikes and magic spells inflict damage—indicated by impact sounds, slashes on the screen, and diminishing health bars. Some heroes are depicted with bloodstained clothing or small splatters of blood on their faces; one monster is seen with a bloodstained scythe. Several female characters are designed in a suggestive manner (e.g., low-cut outfits, deep cleavage, partial breast exposure); some female monsters'' breasts jiggle/bounce during combat. A handful of selectable recurring characters are depicted holding cigarettes or alcohol (e.g., beer, wine)."
CYGNI: All Guns Blazing,"Windows PC, PlayStation 5, Xbox Series",E10+,"Fantasy Violence,Mild Language,Suggestive Themes",No Interactive Elements,"This is an action/shooter game in which players pilot a space craft battling to save humanity from alien creatures. From a top-down perspective, players fly through vertically scrolling levels and use weapons (e.g., laser canons, missiles, drones) to attack waves of small ships and ground units. Combat is fast-paced, highlighted by laser fire, explosions, and screen-shaking effects. Boss battles depict more protracted combat, as players shoot at segments/parts of giant creatures. The game''s opening sequence depicts a brief, close-up angle of a character pulling up her pants (i.e., buttocks with underwear). The words “hell” and “damnation” appear in the game."
HappyFunland,PlayStation 5,M,"Blood and Gore,Sexual Themes,Strong Language,Use of Drugs,Violence",No Interactive Elements,"This is a VR platformer game in which players explore an abandoned amusement park. From a first-person perspective, players traverse the park''s dilapidated stores, attractions, and rides while solving puzzles and defending against roaming robots. Players use found objects (e.g., golf clubs, swords) to attack enemy robots in melee-style combat. Battles are fast-paced, highlighted by impact sounds and slow-motion effects. Blood-splatter effects occur as players are hit; some sequences depict large blood stains in the environment. A surgical room contains a corpse with portions of its head missing (i.e., bloody head cavity). Surveillance-style footage depicts guards burning, stabbing, and striking a man—the black-and-white video is presented in an exaggerated manner (i.e., parody), as guards inflict pain on a line skipper. As players progress through the amusement park, they can interact with various sex toys (e.g., dildo) and encounter rides with sex dolls and cartoon animals at a strip club; the dialogue also references sexual material (e.g., “I sure would like to pillage yer booty”; “Silly syphilis and Herpe the Love Bug were my favorite characters.”). The game contains a ride-through attraction with drug paraphernalia (e.g., bongs, syringes, pills) and images of a cartoon squirrel snorting lines and injecting itself with a syringe; words such as Crank, Smack, LSD, Crystal Meth, and Trip Out accompany the imagery. In another sequence, a squirrel robot is shown injecting players'' character with a syringe, resulting in screen-distortion effects. The words “f**k” and “sh*t” are heard in the game."
Taxi Life: A City Driving Simulator,"Windows PC, PlayStation 5, Xbox Series",E,Mild Language,No Interactive Elements,This is a simulation game in which players drive a taxi in the city of Barcelona. Players can pick up passengers and drive to destinations in a timely manner while following traffic laws. The words “damn” and “hell” appear in the game.
