Game_Title,Consoles,ESRB_Rating,Content_Descriptors,Interactive_Elements,Content_Summary
Hidden Objects 6: Shopping Clutter,"PlayStation 5, Nintendo Switch",E,"Alcohol Reference,Mild Blood",No Interactive Elements,"This is a collection of hidden-object puzzle games set in the fictional town of Animalville. Players complete slide puzzles and matching challenges while helping an animal family through story chapters. Some scenes contain Halloween or Dracula-themed imagery, including bloodstained goblets and/or knives. A handful of scenes depict frothy mugs of beer, among dozens of other objects and items."
Fatal Run,ATARI 7800,E,Mild Fantasy Violence,No Interactive Elements,"This is an arcade-style racing game in which players race along a variety of tracks. During races, players can use various pixelated weapons (e.g., machine guns, missiles) against other racers. Cars briefly explode when struck."
Senua’s Saga: Hellblade II,"Windows PC, Xbox Series",M,"Blood and Gore,Intense Violence,Strong Language",No Interactive Elements,"This is an adventure game in which players assume the role of Senua, a Pict warrior trying to save her people from Viking oppressors. From a third-person perspective, players explore Icelandic villages/vistas while battling various enemies (e.g., Vikings, ghouls, cultists). Players use swords to slash at enemies in frenetic melee combat, which is highlighted by blood-splatter effects, cries of pain, and impalement finishing moves. Impaling deaths are often depicted; one distant scene depicts a villain cutting off a man''s arm. Cutscenes depict occasional decapitation and/or dismemberment, and some environments contain bloodied, decaying corpses and severed limbs. The word “f**k” appears in the game."
Undisputed,"PlayStation 5, Xbox Series",T,"Blood,Lyrics,Violence","In-Game Purchases (Xbox Series,PlayStation 5)","This is a boxing simulation game in which players can create a character to participate in realistic bouts as they progress through a career track. Fighters punch each other repeatedly, attempting to knock each other out; knockout punches are replayed from several angles in slow-motion. Repeated punches sometimes result in cuts on boxers'' faces, with blood dripping effects; blood also sprays briefly when boxers are hit particularly hard/knocked out. Accompanying song lyrics occasionally contain the word “sh*t.”"
SAMURAI WARRIORS 4 DX,Windows PC,T,"Mild Suggestive Themes,Use of Alcohol and Tobacco,Violence",Users Interact (PC),"This is an action game in which players assume the roles of various Japanese historical figures in dramatic retellings of Japanese history. From a third-person perspective, players use swords, spears, hammers, rifles, and magic to kill hordes of enemy soldiers and generals in melee-style combat. Battles are frenetic, highlighted by impact sounds, cries of pain, occasional slow-motion effects, and colorful light effects. Cutscenes also contain direct and indirect depictions of violence: characters sword fighting; bodies littering the ground after battle. Some female characters are designed with revealing outfits (e.g., deep cleavage, bikinis in the battlefield) and/or breast-jiggling effects. During the course of the game, wine and celebratory drinks are referenced in the dialogue (e.g., “Munenori happily drank the wine down”; “I can hold my drink, so you''ve got a long night ahead!”); a handful of sequences depict characters drinking alcohol. Another sequence depicts a man smoking a pipe."
Supernatural,Meta Quest,T,Lyrics,Users Interact (Meta Quest),"This is a VR health and fitness app in which players engage in full body workouts. Players can engage in four modes of activity (Box, Flow, Meditate, Stretch) while guided by personal coaches. In the Box and Flow activities, players must match the tempo and direction of icons as they appear in time with the music. Some song lyrics contain references to suggestive material (e.g., “I like mornin'' sex”; “Wet and gushy, make that p*llout game weak”; “Somebody come get her, she''s dancin'' like a stripper”; “E*t me and record it, but your edge-up all I''m showing”; “Man, I swear I love her how she work that damn pole”). A handful of songs allude to drugs (e.g., “I''m a pothead, true enough”; “And I get high with my baby”; “At 56 a gram, 5 a hundred grams”)."
Grounded: Fully Yoked Edition,"PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",T,"Blood,Mild Language,Violence","Users Interact (Xbox One,Switch,Xbox Series,PlayStation 5)","This is a survival-adventure game in which players control ant-sized humans in backyard environments. From first- and third-person perspectives, players search for resources, craft weapons, build shelters, and battle realistic, over-sized insects. Combat can be frenetic at times, with players using swords, clubs, and spears to attack insects that slash, bite, and spit at players. Human characters emit small splashes of blood when injured; insects emit splatters of green or yellow blood when killed. Players can also encounter a room full of decapitated and impaled ant heads, with green blood splatter on the ground. The words “p*ss off” appear in the text."
Super Monkey Ball Banana Rumble,Nintendo Switch,E,Mild Fantasy Violence,In-Game Purchases (Switch),"This is an action platformer in which players control a monkey inside a ball on a quest to find a legendary banana. Players roll through stages, avoid traps, collect bananas, and occasionally engage in multiplayer matches (e.g., Battle mode). Throughout the game, players can use various power ups (e.g., rockets, ice blasts, baseball bats) against characters (e.g., robots); some characters yelp out when hit and fly through the air from explosions. In Battle mode, players can use a cartoony missile to knock other players away."
Tales of Kenzera™: ZAU,"Windows PC, PlayStation 5, Nintendo Switch, Xbox Series",E10+,Fantasy Violence,No Interactive Elements,"This is an adventure platformer in which players assume the role of a shaman dealing with the grief of his father''s death. From a side-scrolling perspective, players navigate mazes of levels, solve puzzles, and battle fantastical enemies (e.g., corrupted spirits, Adze) in melee-style combat. Players use spears and cosmic powers from the Sun and Moon to attack enemies. Battles are highlighted by colorful light effects, impact sounds, and dwindling health bars. Boss battles contain more protracted combat."
Kena: Bridge of Spirits - Deluxe Edition,"Xbox One, Xbox Series",T,Fantasy Violence,No Interactive Elements,"This is an action-adventure game in which players control a spirit guide (Kena) as she removes corruption and restores various environments. From a third-person perspective, players traverse platforms, solve puzzles, interact with spirits and creatures, and battle corrupted spirits and boss creatures. Players use a magic staff, arrows, and small creatures (called Rot) to strike enemies and drain their health meters in melee-style combat. Enemies (e.g., human-like spirits, tree-like ghouls, giant wood creatures) attack players by using bladed weapons and explosive bursts of fire/energy. Combat can be frenetic, with frequent impact sounds, screen-shaking effects, and cries of pain."
Xuan-Yuan Sword: Mists Beyond the Mountains,Nintendo Switch,T,"Blood,Fantasy Violence,Mild Language,Sexual Themes,Use of Alcohol",No Interactive Elements,No Rating Summary
ONE PIECE ODYSSEY Deluxe Edition,Nintendo Switch,T,"Mild Language,Suggestive Themes,Use of Tobacco,Violence",In-Game Purchases (Switch),"This is an action-adventure game in which players follow the story of shipwrecked characters from the One Piece comic and animated series. As players explore a mysterious island, they engage in turn-based battles with enemy pirates/thugs and occasional large creatures. Players choose attack moves/skills from a menu before watching short animations of characters punching/kicking, using swords or pistols, or throwing fireballs/bursts of energy. Characters cry out in pain when injured, and damage is indicated by dwindling health meters/hit points. Cutscenes contain more dramatic instances of violence: characters using fire attacks on each other, as one appears to get killed; a man shooting a pistol at a young character at close range. The game contains some suggestive material: female characters designed with revealing outfits (e.g., low-cut tops, deep cleavage); close-up camera views of characters'' chests; text/dialogue such as ""The golden ration of exposed buttock"" and “Their long exposure to humans has given them a perverted response to naked women.” One recurring character named Smoker is depicted with two cigars in his mouth. The word “bastard” appears in the game."
Star Wars Outlaws,"Windows PC, PlayStation 5, Xbox Series",T,"Mild Language,Simulated Gambling,Violence","Users Interact (PC,Xbox Series,PlayStation 5)In-Game Purchases (PC,Xbox Series,PlayStation 5)","This is third-person action-adventure game in which players assume the role of an outlaw navigating the underworld of the Star Wars universe. As players explore open-world environments, they can accept missions/jobs for various criminal factions. Most missions involve using stealth to sneak through heavily guarded compounds or shooting through waves of hostile enemies. Players use a variety of gadgets and blaster-type weapons during missions. Players can perform dramatic punching takedowns when using stealth or close-quarter combat. Fighting is highlighted by futuristic gunfire, explosions, and cries of pain. During the course of the game, players can wager in-game currency on Sabacc, a blackjack-like card game with detailed rules; one area allows players to wager on fantasy races in order to further a plot point. The word “bastard” appears in the game."
Fitness Boxing feat. HATSUNE MIKU,Nintendo Switch,E,No Descriptors,No Interactive Elements,"This is a fitness/rhythm-based game in which players perform boxing routines by following timed prompts along with music. Players earn points by matching Hatsune Miku and her friends'' various on -screen movements (e.g., jabs, uppercuts, dodges)."
Fallout 4,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series",M,"Blood and Gore,Intense Violence,Strong Language,Use of Drugs","In-Game Purchases (PC,PlayStation 4,Xbox One,Xbox Series,PlayStation 5)","This is a role-playing game in which players assume the role of a fallout shelter resident attempting to survive in a post-apocalyptic world. From first- or third-person perspectives, players explore an open-world environment, collect and craft items/weapons, complete missions, and battle various enemies (e.g., mutated creatures, human survivors). Players use pistols, shotguns, rifles, machine guns, and explosives to kill enemies in ranged combat; players can also use bats, pipes, blades, and brass knuckles to defeat enemies in melee-style combat. Battles are frenetic, accompanied by realistic gunfire, explosions, cries of pain, and large blood-splatter effects. Some weapons/attacks result in slow-motion dismemberment and/or decapitation; other weapons result in enemies being blown apart into scattered limbs and chunks of flesh. During the course of the game, players can consume a variety of fictional drugs (e.g., Buffout, Jet, Psycho) through the use of a menu; repeated use of these drugs leads to an addiction status and various negative effects. The words “f**k,” “sh*t,” and “a*shole” are heard in the dialogue."
Autobahn Police Simulator 2,Nintendo Switch,T,"Drug Reference,Mild Violence,Use of Alcohol",No Interactive Elements,No Rating Summary
Disney Epic Mickey: Rebrushed,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",E10+,Fantasy Violence,No Interactive Elements,"This is an adventure game in which players assume the role of Mickey Mouse as he attempts to stop villains from destroying a magical world. From a third-person perspective, players explore twisted versions of Disney attractions (e.g., Neverland, Haunted Mansion) that have been overrun by enemies (e.g., ink blobs, animatronic characters). Players use a magic paintbrush to battle enemies, spraying projectile paint/thinner to make them friendly or melt away. Players can also hop on enemies'' heads and/or perform spin attacks, stunning and knocking creatures back. Combat is often frenetic, accompanied by cries of pain and impact sound effects. Some cutscenes contain tonally dark moments: a character abducted into a mirror; a character restrained, while threatened with a drill and chainsaw."
Crossfire Sierra Squad,PlayStation 5,M,"Blood,Strong Language,Violence",No Interactive Elements,"This is a first-person shooter in which players assume the role of the leader of an elite fireteam in the middle of a war. Players engage in combat missions, using shotguns, sniper rifles, machine guns, and grenades to kill enemy soldiers and drones. Combat is frenetic, highlighted by realistic gunfire, cries of pain, and blood-splatter effects. One sequence depicts a dying soldier with blood staining the walls and ground around him. The word “f**k” appears in the game."
Gravity Circuit,"PlayStation 5, Nintendo Switch",E10+,Fantasy Violence,No Interactive Elements,No Rating Summary
Tengoku Struggle -Strayside-,Nintendo Switch,T,"Alcohol and Tobacco Reference,Blood,Fantasy Violence,Language,Sexual Themes",No Interactive Elements,"This is a visual novel in which players assume the role of a Hell Guardian trying to capture Hell''s escaped prisoners. A handful of still-screen images can depict violence and blood: a character slashing men off-screen, with screaming sounds; a character burning to death; a character with blood-splattered clothing/face; blood splashes on the screen. The game contains sexual references in the dialogue (e.g., “That night, I was defiled by many other monks, right in front of him”; “…[T]o give a woman honor means to drag them into their bed”; “We went and had so much sex right away”; “Take off your panties, then put your hands against the wall.”). Dialogue also references alcohol (e.g., being drunk/wasted; wine, sake, booze), as well as tobacco (e.g., ""He took out a cigarette and savored a puff.""). The words “sh*t” and “a*shole” appear in the game."
Teenage Mutant Ninja Turtles Arcade: Wrath of the Mutants,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",E10+,Fantasy Violence,No Interactive Elements,"This is an action game in which players control Teenage Mutant Ninja Turtles through levels of enemies. As players attempt to foil Shredder''s evil plans, they use various weapons (katanas, staffs, nunchuks) to defeat cartoony enemies (e.g., soldiers, droids, mutant creatures) in beat-em-up-style fighting. Characters can also use special attacks (e.g., tornadoes, fiery blasts, electric surges) to inflict wider damage. Some enemies can shoot stylized lasers, flames, or energy bursts at players'' character."
Toaplan Arcade Garage: Kyukyoku Tiger-Heli,"PlayStation 4, Nintendo Switch",E10+,Fantasy Violence,No Interactive Elements,"This is a collection of ten arcade-style action games in which players control helicopters and robots through levels of enemies. Most games allow players to control helicopters that shoot projectiles at enemies (e.g., planes, tanks, drones); games are presented from a top-down, scrolling perspective, highlighted by explosions and gunfire. One side-scrolling game allows players to control a robot soldier that punches and uses laser fire to attack enemies; the beat-''em-gameplay depicts depleting health bars, various attacks (e.g., Speed Punch, Fire Punch, Super Punch), and protracted boss battles."
Ugly,Nintendo Switch,T,"Blood,Fantasy Violence,Mild Language,Sexual Themes,Use of Alcohol",No Interactive Elements,"This is a puzzle platformer in which players assume the role of a prince battling his inner demons while reflecting on a life of abuse and cruelty. From a 2D side-scrolling perspective, players explore a fantastical mansion while searching for keys, solving puzzles, and unlocking memories. Boss characters sometimes attempt to crush players and/or menace them with fire. Some areas depict small corpses, bloodstained walls, and torture devices. One sequence briefly depicts a character with shards of glass embedded in its face, with blood dripping from wounds. One level depicts a dungeon with sexual and BDSM paraphernalia: a sex swing hanging from the ceiling; sex toys on bookshelves; bondage tools in the corner. A central gameplay mechanic involves players'' character resetting the puzzle by drinking a bottle of alcohol, as a hazy, blurry effect appears each time. The word “bastard” appears in the game."
Double Dragon Collection,Nintendo Switch,E10+,"Language,Mild Blood,Mild Violence",No Interactive Elements,"This is a collection of arcade-style action-fighting games in which players assume the roles of brothers on a rescue mission. From a side-scrolling perspective, players traverse 2D environments to battle human enemies in “beat-''em-up”-style combat. Players defeat enemies by using melee attacks and small weapons (e.g., knives, whips, bats). In one game, pixelated blood-splatter effects occur when enemies are struck by knives; still-images can depict boss characters with small steaks of blood. The word “bastard” appears in the game."
Outward Definitive Edition,Nintendo Switch,M,"Blood and Gore,Partial Nudity,Violence",Users Interact (Switch),"This is a role-playing game in which players assume the role of a fighter involved in a war between three factions. From a third-person perspective, players explore caves and towns, perform quests, and battle various enemies (e.g., wolves, ghouls, skeletons, humans). Characters use swords, clubs, and magic attacks (e.g., blasts of fire and ice) to kill enemies in melee combat. Successful hits are accompanied by splashes of blood, and several environments depict corpses and/or large bloodstains. Some areas contain dismembered or mutilated corpses; several of these corpses are depicted with exposed breasts and/or buttocks."
Cupid Parasite: Sweet and Spicy Darling,Nintendo Switch,T,"Fantasy Violence,Language,Mild Blood,Sexual Themes,Use of Alcohol and Tobacco",No Interactive Elements,"This is a visual novel in which players follow the story of Lynette Mirror and her experiences with romantic relationships. Players can follow several storylines while making choices that affect the course of their relationships. Some choices lead to depictions of violence: a female demon impaled by magical arrows; a character spitting out blood after being impaled (off screen). Other choices lead to sequences containing sexual material, largely conveyed through text/dialogue (e.g., “He slipped a finger into my mouth…He traced his tongue along the nape of my neck”: ""I felt the zipper of my skirt being undone""; “His rough tongue glided over my body as he nibbled on me.”). One sequence references a character''s husband''s lack of virility (e.g., “It was so…soft and deflated”; “Clearly [he] had been searching for a solution…a solution on how to get it up again.”). The game depicts prolonged sequences of social drinking, resulting in characters getting drunk, with slurred speech (e.g., “Before I knew it, everyone was wasted”; “Everyone else continued to chug alcohol.""). Another sequence references a drunk character being taking advantage of (e.g., “In my inebriated state, I couldn''t stand up properly...He seized this vulnerable moment when my yearnings for companionship overpowered me.”). In one sequence, a demon can be seen holding a smoking pipe. The word “bullsh*t” appears in the game."
The Plucky Squire,"PlayStation 5, Nintendo Switch, Xbox Series",E10+,Fantasy Violence,No Interactive Elements,"This is an action-adventure game in which players follow the story of a squire who explores 2D and 3D realms while trying to save his friends. Players traverse platform environments, solve puzzles, and fight whimsical enemies (e.g., goblins, birds, badgers). Players use a small sword to strike cartoony enemies that disappear into puffs of smoke when defeated. One mini-game depicts an exaggerated boxing match, with characters punching and dodging to defeat each other; action is highlighted by impact sounds, brief cries of pain, and screen-shaking effects."
Chicory: A Colorful Tale,"PlayStation 4, PlayStation 5, Nintendo Switch",E10+,"Comic Mischief,Mild Fantasy Violence,Mild Suggestive Themes",No Interactive Elements,No Rating Summary
Truck & Logistics Simulator,"PlayStation 5, Nintendo Switch",E,No Descriptors,"Users Interact (Switch,PlayStation 5)",No Rating Summary
The Stanley Parable: Ultra Deluxe,"Linux, Macintosh, Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch",T,"Drug Reference,Mild Blood,Mild Language,Mild Suggestive Themes,Mild Violence",No Interactive Elements,No Rating Summary
Lost Ruins,"PlayStation 4, PlayStation 5, Nintendo Switch",T,"Blood and Gore,Suggestive Themes,Violence",No Interactive Elements,No Rating Summary
Lawn Mowing Simulator - Landmark Edition,Nintendo Switch,E,No Descriptors,No Interactive Elements,This is a simulation game in which players can cut grass and weeds using ride-on lawn mowers and handheld trimmers. Players can start a lawn care business and perform jobs on residential gardens and other landscapes/sites.
